buyer,COUNTRY,yyyymm,uom,GRADE_SPEC,Sum_of_QTY,Sum_of_TOTAL_VALUE,Avg_PRICE,source,entity_name
Mehta Medicare Pvt Ltd,CHINA,202509,KG,IP,1000.0,12200914.0,12200.914,Buyer,Mehta Medicare Pvt Ltd
Mehta Medicare Pvt Ltd,CHINA,202511,KG,IP,1000.0,12357985.0,12357.985,Buyer,Mehta Medicare Pvt Ltd
Mehta Pharmaceutical Industries,CHINA,202504,KG,USP,10000.0,109858889.0,10985.8889,Buyer,Mehta Pharmaceutical Industries
Mehta Pharmaceutical Industries,CHINA,202507,KG,IP,3000.0,35455108.0,11818.369333333334,Buyer,Mehta Pharmaceutical Industries
Micro Labs Ltd,CHINA,202505,KG,USP,2000.0,24192000.0,12096.0,Buyer,Micro Labs Ltd
Micro Labs Ltd,CHINA,202509,KG,USP,2000.0,24612000.0,12306.0,Buyer,Micro Labs Ltd
Minerva Biogenix Pvt Ltd,CHINA,202509,KG,USP,1000.0,12306000.0,12306.0,Buyer,Minerva Biogenix Pvt Ltd
Next Wave India,CHINA,202509,KG,USP,1000.0,12460000.0,12460.0,Buyer,Next Wave India
Odin Healthcare Pvt Ltd,CHINA,202506,KG,USP,1000.0,12278048.0,12278.048,Buyer,Odin Healthcare Pvt Ltd
Odin Healthcare Pvt Ltd,CHINA,202509,KG,USP,1000.0,12446053.0,12446.053,Buyer,Odin Healthcare Pvt Ltd
Odin Healthcare Pvt Ltd,CHINA,202512,KG,USP,1000.0,12537049.0,12537.049,Buyer,Odin Healthcare Pvt Ltd
Pretty Petals Pvt Ltd,CHINA,202507,KG,USP,7150.0,82542464.0,11544.400559440559,Buyer,Pretty Petals Pvt Ltd
Pretty Petals Pvt Ltd,CHINA,202511,KG,USP,7200.0,84738600.0,11769.25,Buyer,Pretty Petals Pvt Ltd
Ruskin Chemipharm,CHINA,202505,KG,IP,1500.0,17774324.0,11849.549333333332,Buyer,Ruskin Chemipharm
Ruskin Chemipharm,CHINA,202507,KG,IP,1500.0,17853830.0,11902.553333333333,Buyer,Ruskin Chemipharm
Ruskin Chemipharm,CHINA,202508,KG,IP,2000.0,24475452.0,12237.726,Buyer,Ruskin Chemipharm
Ruskin Chemipharm,CHINA,202512,KG,IP,2000.0,25590710.0,12795.355,Buyer,Ruskin Chemipharm
Sevantilal And Sons,CHINA,202505,KG,IP,3000.0,35201572.0,11733.857333333333,Buyer,Sevantilal And Sons
Sevantilal And Sons,CHINA,202508,KG,IP,2000.0,24273668.0,12136.834,Buyer,Sevantilal And Sons
Sevantilal And Sons,CHINA,202508,KG,USP,2000.0,24318764.0,12159.382,Buyer,Sevantilal And Sons
Sevantilal And Sons,CHINA,202511,KG,IP,2000.0,25069812.0,12534.906,Buyer,Sevantilal And Sons
Shah C J World Llp,CHINA,202506,KG,USP,1000.0,12145000.0,12145.0,Buyer,Shah C J World Llp
